"month","category","revenue"
"2017-06-01 00:00:00+07","alimentos_bebidas","82.78"
"2017-06-01 00:00:00+07","artes","631.79"
"2017-06-01 00:00:00+07","artigos_de_natal","246.25"
"2017-06-01 00:00:00+07","audio","1818.24"
"2017-06-01 00:00:00+07","automotivo","31667.20"
"2017-06-01 00:00:00+07","bebes","9258.05"
"2017-06-01 00:00:00+07","bebidas","69.20"
"2017-06-01 00:00:00+07","beleza_saude","37211.48"
"2017-06-01 00:00:00+07","brinquedos","18127.09"
"2017-06-01 00:00:00+07","cama_mesa_banho","41684.51"
"2017-06-01 00:00:00+07","casa_conforto","3352.70"
"2017-06-01 00:00:00+07","casa_conforto_2","28.00"
"2017-06-01 00:00:00+07","casa_construcao","2141.18"
"2017-06-01 00:00:00+07","cine_foto","112.91"
"2017-06-01 00:00:00+07","climatizacao","2288.52"
"2017-06-01 00:00:00+07","consoles_games","5954.62"
"2017-06-01 00:00:00+07","construcao_ferramentas_construcao","475.31"
"2017-06-01 00:00:00+07","construcao_ferramentas_jardim","500.40"
"2017-06-01 00:00:00+07","cool_stuff","42730.63"
"2017-06-01 00:00:00+07","dvds_blu_ray","199.74"
"2017-06-01 00:00:00+07","eletrodomesticos","3143.60"
"2017-06-01 00:00:00+07","eletrodomesticos_2","1435.07"
"2017-06-01 00:00:00+07","eletronicos","2675.70"
"2017-06-01 00:00:00+07","eletroportateis","10342.28"
"2017-06-01 00:00:00+07","esporte_lazer","38854.59"
"2017-06-01 00:00:00+07","fashion_bolsas_e_acessorios","8134.62"
"2017-06-01 00:00:00+07","fashion_calcados","1735.87"
"2017-06-01 00:00:00+07","fashion_esporte","607.49"
"2017-06-01 00:00:00+07","fashion_roupa_feminina","199.30"
"2017-06-01 00:00:00+07","fashion_roupa_infanto_juvenil","118.96"
"2017-06-01 00:00:00+07","fashion_roupa_masculina","754.82"
"2017-06-01 00:00:00+07","fashion_underwear_e_moda_praia","19.00"
"2017-06-01 00:00:00+07","ferramentas_jardim","18596.95"
"2017-06-01 00:00:00+07","industria_comercio_e_negocios","342.17"
"2017-06-01 00:00:00+07","informatica_acessorios","41621.82"
"2017-06-01 00:00:00+07","instrumentos_musicais","5515.32"
"2017-06-01 00:00:00+07","livros_importados","129.20"
"2017-06-01 00:00:00+07","livros_interesse_geral","2337.34"
"2017-06-01 00:00:00+07","livros_tecnicos","188.53"
"2017-06-01 00:00:00+07","malas_acessorios","10294.04"
"2017-06-01 00:00:00+07","market_place","1491.86"
"2017-06-01 00:00:00+07","moveis_cozinha_area_de_servico_jantar_e_jardim","542.59"
"2017-06-01 00:00:00+07","moveis_decoracao","21970.99"
"2017-06-01 00:00:00+07","moveis_escritorio","9095.80"
"2017-06-01 00:00:00+07","moveis_quarto","351.68"
"2017-06-01 00:00:00+07","moveis_sala","2242.91"
"2017-06-01 00:00:00+07","musica","1141.12"
"2017-06-01 00:00:00+07","papelaria","4176.05"
"2017-06-01 00:00:00+07","pc_gamer","156.18"
"2017-06-01 00:00:00+07","perfumaria","26938.58"
"2017-06-01 00:00:00+07","pet_shop","6445.03"
"2017-06-01 00:00:00+07","portateis_casa_forno_e_cafe","88.65"
"2017-06-01 00:00:00+07","relogios_presentes","30367.42"
"2017-06-01 00:00:00+07","sinalizacao_e_seguranca","345.40"
